search 	 搜索
search 	 搜索
find a trailer called peggy sue 	 查找名为peggy sue的预告片
search 	 搜索
find the another ticket game 	 找到另一个彩票游戏
music 	 音乐
can you play crossover ? 	 你会玩跨界游戏吗？
restaurant 	 餐厅
book a spot for five at a brasserie on jan 7 2023 	 2023年1月7日，在一家啤酒店预订五人位
search 	 搜索
can you find me the real mccoy novel ? 	 你能找到我真正的麦考伊小说吗？
music 	 音乐
play 2004 on pandora 	 在Pandora上播放2004
music 	 音乐
play some stephen jones on youtube 	 在YouTube上播放斯蒂芬·琼斯
weather 	 天气
what weather is in saint vincent and the grenadines on thursday 	 圣文森特和格林纳丁斯星期四天气如何
music 	 音乐
play a native us song on last fm 	 在最后的FM上播放美国本地歌曲
weather 	 天气
will it snow on apr eighteenth 2029 in myanmar ? 	 它将在2029年4月18日在缅甸下雪吗？
music 	 音乐
play the latest ep by joel hastings on itunes 	 在iTunes上播放Joel Hastings的最新EP
search 	 搜索
play the song sf sound furniture 	 播放歌曲sf声音家具
restaurant 	 餐厅
need a table at a highly rated south tyrolean joint 	 在高度评价的南蒂罗尔接头处需要一张桌子
music 	 音乐
play music on deezer by imogen heap 	 通过imogen堆在deezer上播放音乐
movie 	 电影
what is the closest movie house playing films 	 最近的电影院在看电影是什么
music 	 音乐
play apbl98 by alden penner 	 奥尔登·彭纳（Alden Penner）演奏apbl98
search 	 搜索
find a painting called screen souvenirs 	 找到一幅叫做屏幕纪念品的画
search 	 搜索
play the great adventures of slick rick game 	 玩光滑的里克游戏的大冒险
movie 	 电影
list movie schedule 	 列出电影时间表
search 	 搜索
please search for sealed with a kiss movie 	 请用亲吻电影搜索密封
restaurant 	 餐厅
book a restaurant in fort gates fl 	 预订在Fort Gates FL的餐厅
music 	 音乐
play tomtegubben som hade snuva 	 播放tomtegubben索姆·哈德·斯努瓦
music 	 音乐
play seven steps to heaven by wikluh sky 	 通过维克卢天空向天堂演奏七步
search 	 搜索
i need a painting called brubeck plays brubeck 	 我需要一幅叫布鲁贝克的画，扮演布鲁贝克
restaurant 	 餐厅
book the boon brick store for nine people 	 预订9人的砖瓦店
movie 	 电影
what time are films showing in the neighborhood 	 电影什么时候在附近放映
movie 	 电影
i d like to know when i can see the taking of flight 847 the uli derickson story at amco entertainment 	 我想知道什么时候可以在Amco Entertainment看到847航班的Uli Derickson故事
music 	 音乐
play the symphony by tetsuya ogawa from 1953 	 演奏1953年小川哲也的交响曲
movie 	 电影
what films are playing at kb theatres 	 kb剧院正在播放什么电影
movie 	 电影
find movie schedules at loews cineplex entertainment 	 在loews cineplex娱乐中心查找电影时间表
weather 	 天气
what is the weather forecast for theodore roosevelt inaugural national historic site 	 西奥多·罗斯福就职国家历史遗址的天气预报是什么
movie 	 电影
which movies are playing at amc theaters ? 	 在amc电影院放映哪些电影？
movie 	 电影
what time is exploits of a young don juan playing? 	 年轻的唐·胡安的表演时间是几点？
music 	 音乐
play is this my world ?by leo arnaud 	 玩这是我的世界吗？由leo arnaud
search 	 搜索
search for live forever the rise and fall of brit pop tv show 	 寻找永远活着的英国流行电视节目的兴衰
restaurant 	 餐厅
id like a table at the san francisco brewing company in puerto rico at noon 	 id像中午在波多黎各的旧金山酿酒公司的桌子一样的ID
movie 	 电影
which movies are showing at southern theatres ? 	 南部的电影院放映哪些电影？
restaurant 	 餐厅
book a table for 10 at the dome edinburgh 	 在圆顶爱丁堡预订10人的桌子
restaurant 	 餐厅
book a reservation for irene and rosella at the room in the elephant in israel 	 在以色列的大象房间预订艾琳和罗塞拉的预订
music 	 音乐
play music on pandora 	 在潘多拉上播放音乐
weather 	 天气
will it be stormy in saint pierre and miquelon in the city of wenham 	 在温汉姆市的圣皮埃尔和密克隆岛会暴风雨吗？
weather 	 天气
what will the weather by close by the current position at 02 02 30 ? 	 天气如何在02 02 30的当前位置关闭？
restaurant 	 餐厅
book the tea house on north river 	 预订北河上的茶馆
search 	 搜索
find the novel what we did on our holiday 	 找到这本小说，我们在假期里做什么
movie 	 电影
find the movie schedule 	 查找电影时间表
search 	 搜索
find a tv show called shake hands with beef 	 找到一个电视节目叫牛肉握手
search 	 搜索
i need journal of pediatric oncology nursing help me find 	 我需要《儿科肿瘤学护理杂志》帮助我找到
movie 	 电影
show movie schedule and movies in the area 	 显示该地区的电影时间表和电影
music 	 音乐
play some house music 	 播放一些室内音乐
movie 	 电影
what s the closest movie house showing animated movies 	 什么是最近的动画电影院
restaurant 	 餐厅
id like a table for my step grandfather and i at five fifty-five in nv 	 我的继父和我五岁五十五岁的时候，我的ID就像一张桌子
restaurant 	 餐厅
book a restaurant in palau for two people 	 在帕劳为两个人预订餐厅
weather 	 天气
what is the forcast now in kansas 	 堪萨斯州现在的预报是什么
movie 	 电影
find the schedule for brick 	 找到砖的时间表
weather 	 天气
weather for five am in osyka bhutan 	 奥西卡不丹五点钟的天气
search 	 搜索
find me an echo in the darkness 	 在黑暗中找到我的回声
restaurant 	 餐厅
book a spot for nine at the cubby bear in luxor 	 在卢克索的小熊上预订九点的景点
music 	 音乐
play some good movement music by brian littrell from around 2001 	 播放2001年左右的brian littrell演奏的出色动作音乐
search 	 搜索
i want the complete global albums collection 	 我想要完整的全球专辑收藏
search 	 搜索
i want to watch the show frank sinatra sings the select sammy cahn 	 我想看这个节目，弗兰克·辛纳特拉（Fina Sinatra）演唱精选的萨米·卡恩（Sammy cahn）
restaurant 	 餐厅
book a table for seven people at a restaurant which has internet 	 在有互联网的餐厅为七个人预订餐桌
movie 	 电影
i want to see animated movie in the neighbourhood 	 我想在附近看动画电影
weather 	 天气
will there be a storm nearby 	 附近会不会有暴风雨
music 	 音乐
play a song by fats waller 	 播放胖胖沃勒的歌
music 	 音乐
play prints in the stone by helen baylor 	 在海伦·贝勒（Helen Baylor）的石头上玩版画
restaurant 	 餐厅
pizzeria restaurant in kellnersville hi that is outdoor for ten 	 凯尔纳斯维尔的比萨店餐厅是户外十人
search 	 搜索
where can i see the show twentysomething 	 我在哪里可以看节目
movie 	 电影
what is the movie schedule 	 电影时间表是什么
search 	 搜索
find me i am mariah… the elusive chanteuse 	 找到我，我是玛丽亚…难以捉摸的金丝雀
movie 	 电影
find close by movies movie times 	 查找电影附近的电影时间
weather 	 天气
what is the forecast for assumption of mary in in for the weather depression 	 天气预报中关于玛丽的假设的预测是什么
search 	 搜索
find the apple address book television show 	 查找苹果通讯录电视节目
weather 	 天气
is it cloudy in cuba ? 	 古巴多云吗？
movie 	 电影
find good night and good luck at a cinemark theatres 	 在电影院的剧院里找到晚安，祝你好运
restaurant 	 餐厅
find me a table for four somewhere 	 在某个地方找我四个人的桌子
restaurant 	 餐厅
book a spot at a restaurant faraway from 138th st 	 在远离第138街的餐厅预订地点
search 	 搜索
play the video game the genesis machine 	 玩电子游戏创世机
search 	 搜索
where can i download the game miss robin hood 	 我在哪里可以下载游戏Robin Robin Hood
movie 	 电影
i want to watch the shamrock handicap right now 	 我现在想看三叶草的障碍
search 	 搜索
find half cut tea 	 找到一半切好的茶
search 	 搜索
what is the price for the album praise the lord and pass the ammunition ? 	 这张专辑赞美主并通过弹药的价格是多少？
search 	 搜索
i want to play a game called scotland tonight 	 我今晚想玩苏格兰游戏
weather 	 天气
is it warm at seven am in greenland 	 格陵兰早上七点温暖吗
music 	 音乐
play some music from the sixties 	 播放六十年代的音乐
music 	 音乐
play fifties track music 	 播放五十年代的曲目音乐
search 	 搜索
play video game manifesto of nevermore 	 玩电子游戏宣言
movie 	 电影
find a nearby movie schedule for movies 	 查找附近的电影时间表
search 	 搜索
how do i see the tv series to see the invisible man ? 	 我如何看电视连续剧来看隐形人？
music 	 音乐
i want to hear the album suites & sweets 	 我想听听专辑套房和糖果
movie 	 电影
list movie times with meal 	 列出用餐的电影时间
restaurant 	 餐厅
book a restaurant for a meal for 4 people 	 预订一家餐厅供4人用餐
movie 	 电影
could you please show me movie schedules 	 你能告诉我电影时间表吗
search 	 搜索
where can i purchase wuthering heights 	 我在哪里可以买到呼啸山庄
weather 	 天气
how s the weather looking in pheba 	 pheba的天气如何
movie 	 电影
what movies are at loews cineplex 	 卢斯影城有什么电影
restaurant 	 餐厅
book a reservation for louisiana fried chicken this winter in taiwan 	 预订今年冬天在台湾的路易斯安那州炸鸡
movie 	 电影
what movies are playing in the area ? 	 该地区正在播放什么电影？
movie 	 电影
what time is just around the corner playing 	 快到几点了
search 	 搜索
please look up the painting beyond iconic photographer dennis stock 	 请查找标志性摄影师丹尼斯·斯托克（Dennis Stock）以外的绘画
restaurant 	 餐厅
id like a table for 3 at a tavern in the vatican 	 id像一张在梵蒂冈的小酒馆的3人餐桌
movie 	 电影
please tell me the current and local movie times 	 请告诉我当前和当地的电影时间
music 	 音乐
play all music alan released in 1997 	 播放1997年发行的所有音乐alan
search 	 搜索
show family plot 	 显示家庭情节
search 	 搜索
i m trying to find the game called give me my remote 	 我试图找到名为“给我我的遥控器”的游戏
restaurant 	 餐厅
reserve a table for two at the restaurant at 9 pm 	 晚上9点在餐厅预订一张两人桌
music 	 音乐
play thirties on lastfm 	 在lastfm上玩三十
music 	 音乐
play the song i get ideas as performed by richard kruspe 	 播放由理查德·克鲁斯佩（Richard Kruspe）演唱的歌曲
movie 	 电影
when can i see journey to the end of the night ? 	 我什么时候可以看到深夜的旅程？
movie 	 电影
where is the nearest cinema that is playing films 	 最近的电影院在哪里
music 	 音乐
play trace adkins music from the thirties 	 播放三十年代的微量阿德金斯音乐
movie 	 电影
is the big job playing at the nearest cinema ? 	 在最近的电影院里打的份大事吗？
movie 	 电影
where is the closest movie theatre playing yo robot 	 玩机器人的最近的电影院在哪里
movie 	 电影
show me the films at the closest cinema 	 给我看最近的电影院里的电影
music 	 音乐
play stefon harris s song 	 播放斯蒂芬·哈里斯的歌
weather 	 天气
will it hail in 1 minute in toms river 	 它会在汤姆斯河中冰雹1分钟吗
movie 	 电影
what films are on the movie schedule around here 	 这附近的电影时间表上有哪些电影
music 	 音乐
play the newest ballad from chad urmston 	 播放乍得·乌姆斯顿的最新民谣
movie 	 电影
where is the closest cinema playing osmanthus alley 	 距离桂花胡同最近的电影院在哪里
restaurant 	 餐厅
book a table for 1 at ringside steakhouse in hurricane 	 在飓风的马戏团牛排餐厅预订一张桌子
music 	 音乐
play music by helen ward 	 播放海伦·沃德的音乐
movie 	 电影
does pacific theatres have animated movies starting in 1 minute ? 	 太平洋剧院是否在1分钟内开始播放动画电影？
music 	 音乐
play music by otis redding 	 通过otis redding播放音乐
restaurant 	 餐厅
book a table for pearl and verna slated ash wednesday in gabon 	 预订一张加蓬珍珠和维纳石板灰星期三的桌子
movie 	 电影
where will the blonde from peking be playing 	 北京人的金发女郎在哪里玩
weather 	 天气
what is the forecast for march the twelfth faraway from pine mountain state resort park 	 从松山州立度假公园出发，远离第十二行的预报是什么
search 	 搜索
find darker than black 	 比黑更黑
restaurant 	 餐厅
i need a table for one 	 我需要一张桌子
search 	 搜索
i want television show come again smith 	 我希望电视节目再来一次史密斯
music 	 音乐
open youtube 	 打开YouTube
music 	 音乐
play something from the twenties 	 玩二十年代的东西
weather 	 天气
tell me when it will be chilly in chicken united kingdom 	 告诉我什么时候鸡肉在英国寒冷
movie 	 电影
what films are playing at the closest cinema 	 最近的电影院正在放什么电影
restaurant 	 餐厅
book a restaurant for 2 in cross timbers district of columbia 	 在哥伦比亚的克罗斯伍德区预订一家2人的餐厅
movie 	 电影
what is the movie schedule of animated movies in the area 	 该地区动画电影的电影时间表是什么？
movie 	 电影
what time is a battle of wits starting? 	 机智之战什么时候开始？
movie 	 电影
find movie schedules for animated movies around here 	 在此处查找动画电影的电影时间表
search 	 搜索
show the chemdexcom photograph 	 显示chemdexcom照片
music 	 音乐
play some seventies music on netflix 	 在netflix上播放一些七十年代的音乐
movie 	 电影
is the angelus playing at the movie house at dinner time? 	 晚餐时间天使在电影院里玩吗？
music 	 音乐
play lorenzo palacios quispe 	 玩洛伦佐·帕拉西奥斯·奎斯佩
movie 	 电影
what movie theatre is the closest that is playing cheat you fair the story of maxwell street right now 	 哪个电影院是最近的在作弊的电影，您现在可以说一下麦克斯韦街的故事了
movie 	 电影
show movie times at kerasotes theatres 	 在喀拉索特剧院放映电影
search 	 搜索
show me the movie purple heart diary 	 给我看电影紫心日记
restaurant 	 餐厅
book reservation at a restaurant in rocky fork for 2 people 	 在岩石叉餐厅预订2人
search 	 搜索
find a tv series called dirty politics 	 找到电视连续剧《肮脏的政治》
search 	 搜索
i want to find the very best of chicago only the beginning 	 我只想一开始就找到芝加哥最好的
movie 	 电影
what movies are close by 	 什么电影在附近
search 	 搜索
find the show how to meet the lucky stars 	 找到节目如何认识幸运星
restaurant 	 餐厅
book a brasserie for 3 	 预订一家3家小酒馆
weather 	 天气
what does it feel like in connecticut 	 康涅狄格州的感觉如何
music 	 音乐
play some carmen mcrae from ed robertson off of itunes 	 播放iTunes上的ed carbert mcrae
weather 	 天气
what s the weather here in 52 and a half weeks 	 52个半星期的天气如何
music 	 音乐
play in the arms of god on zvooq by nimal mendis 	 由Nimal Mendis在zvooq上扮演上帝的怀抱
restaurant 	 餐厅
book me a reservation at an oyster bar that serves crab cake for two people 	 给我预订一个牡蛎酒吧的预订，该牡蛎酒吧为两个人提供蟹肉饼
movie 	 电影
i want to know what movies are showing at the nearest movie house 	 我想知道最近的电影院里正在看什么电影
weather 	 天气
will the weather be okay in northern luzon heroes hill national park 4 and a half months from now ? 	 从现在开始四个半月后，北部吕宋英雄山国家公园的天气会好吗？
movie 	 电影
show me the closest movie house playing animated movies please 	 请告诉我最近的播放动画电影的电影院
search 	 搜索
i m looking for the video game masterful mystery tour 	 我在寻找电子游戏大师的神秘之旅
movie 	 电影
please find me the nearest cinema playing foreign intrigue 	 请找我最近的玩外国阴谋的电影院
music 	 音乐
play the playlist gypsy swing 	 播放播放列表吉普赛秋千
weather 	 天气
will there be a storm faraway from chapman ranch ? 	 距查普曼牧场会有一场风暴吗？
search 	 搜索
i need to find the creative work burn baby burn 	 我需要找到创造性的工作烧伤宝贝烧伤
music 	 音乐
play pop 	 播放流行音乐
movie 	 电影
show a movie schedule with bow tie cinemas 	 与领结电影院放映电影时间表
restaurant 	 餐厅
i need to book a restaurant with a smoking room in al 	 我需要预订一家有吸烟室的餐厅
movie 	 电影
what films are playing at great escape theatres 	 在大逃亡剧院正在放什么电影
search 	 搜索
search for innocence from hell 	 从地狱中寻找纯真
weather 	 天气
tell me the current forecast for switzerland 	 告诉我瑞士目前的预报
weather 	 天气
what s the weather far from jarbidge 	 远离Jarbidge的天气如何？
weather 	 天气
what is the forecast in the same area as fiji 	 与斐济同一地区的天气预报是什么
restaurant 	 餐厅
book a table for two at a restaurant faraway from office in california 	 在远离办公室的一家餐厅预订两张桌子
search 	 搜索
find the youth against christ saga 	 找到反对基督传奇的青年
restaurant 	 餐厅
book tartine in mississippi for 5 	 在密西西比州预订tartine 5
restaurant 	 餐厅
id like to eat at the firehouse restaurant 	 我喜欢在消防局餐厅吃饭
music 	 音乐
play elliot easton s album beautiful 	 播放elliot easton的专辑美丽
weather 	 天气
will it be warm in hematite ? 	 赤铁矿会温暖吗？
movie 	 电影
what time is balkan rhapsodies 78 measures of war playing at malco theatres ? 	 巴尔干狂想曲78战争措施何时在马可剧院上演？
weather 	 天气
what will the weather be in stelvio national park 1 hour and 1 minute from now ? 	 从现在开始1小时1分钟，斯泰尔维奥国家公园的天气如何？
weather 	 天气
what will it be like feb the twentieth in colorado 	 科罗拉多二月二十分会怎样
search 	 搜索
find back for good a novel i want to read 	 找回我想读的小说
weather 	 天气
how will the weather be in bhutto family mausoleum next autumn ? 	 明年秋天布托家族陵墓的天气如何？
music 	 音乐
will you play me the most popular sound track from 2006 	 您会播放我2006年最受欢迎的音轨吗
restaurant 	 餐厅
book a restaurant in medford lakes on sep 8 2033 for essie tonya and i 	 于2033年9月8日在梅德福湖（Medford Lakes）预订一家餐厅，以供essie tonya和
search 	 搜索
please fine me ties that bind 	 请罚款我绑定的关系
restaurant 	 餐厅
please book a room in the river café restaurant to accommodate eight members in andorra 	 请在河边咖啡馆餐厅预订一个房间，以容纳安道尔的八名成员
search 	 搜索
find a novel called twins of evil 	 找到一本叫做邪恶双胞胎的小说
music 	 音乐
can you play some music on youtube 	 你可以在YouTube上播放一些音乐吗
search 	 搜索
show me the edge of love photograph 	 告诉我爱的照片边缘
movie 	 电影
show me the movie times for what s playing now 	 告诉我现在正在播放的电影时间
movie 	 电影
find seven am movies at dipson theatres 	 在迪普森剧院找到早上七点的电影
search 	 搜索
find a saga called lovex discography 	 找到一个叫做lovex唱片的传奇
music 	 音乐
i want to hear that track from 1991 	 我想听听1991年的那首单曲
movie 	 电影
i want the movie schedules for movies around here 	 我想要这里的电影的电影时间表
search 	 搜索
show the mickey mouse photograph 	 显示米老鼠照片
movie 	 电影
i want to see return to yesterday 	 我想回到昨天
music 	 音乐
use spotify to play greatest songs from kailash kher 	 使用spotify播放kailash kher的最佳歌曲
weather 	 天气
weather here at two pm 	 下午两点在这里天气
search 	 搜索
show me horton and the kwuggerbug and more lost stories 	 向我展示霍顿和kwuggerbug以及更多失落的故事
restaurant 	 餐厅
id like a table for five at any restaurant 	 就像任何一家餐厅的五人桌一样
restaurant 	 餐厅
book reservations for five at eleven madison park today within walking distance from flaxton 	 今天预订了11个麦迪逊公园（Madison Park）中的5个，距弗拉克斯顿（Flaxton）步行距离之内
search 	 搜索
show me the landing at low tide painting 	 告诉我退潮时的着陆画
search 	 搜索
can i buy the book vacation of petrov and vasechkin online? 	 我可以在网上购买彼得罗夫和凡世奇的假期吗？
music 	 音乐
play some songs from the fifties 	 播放五十年代的一些歌曲
restaurant 	 餐厅
book a breakfast in a restaurant for eight 	 在一家餐厅预订早餐八人
weather 	 天气
what is the forecast next year in mcgee 	 明年麦吉的预测是什么
music 	 音乐
play the top song by amon amarth on groove shark 	 在凹槽鲨鱼中播放Amon Amarth的首歌
search 	 搜索
look for the trailer of guitar heaven santana performs the greatest guitar classics of all time 	 寻找吉他天堂的预告片，桑塔纳表演有史以来最伟大的吉他经典
weather 	 天气
what is the forecast for chandler 	 钱德勒的预测是什么
search 	 搜索
find waiting for touchdown a book 	 找到等待着陆的书
music 	 音乐
play a symphony from bob hardy please 	 请播放鲍勃·哈迪的交响曲
movie 	 电影
what are the local movie times 	 当地电影时间是多少
music 	 音乐
play the newest martin solveig sound track 	 播放最新的Martin Soltig音轨
movie 	 电影
what animated movies are playing nearby right now ? 	 现在正在附近播放哪些动画电影？
music 	 音乐
play me a seventies ep 	 扮演我七十岁
movie 	 电影
will you please pull up movie schedules for me? 	 你能帮我安排电影时间表吗？
restaurant 	 餐厅
book an osteria in north salt lake for three 	 在北盐湖预订三人的索非亚
restaurant 	 餐厅
lets go and take elsa and i to westhampton beach in 1 hour to the american chinese cuisine at the tea house 	 让我们在1小时内带我和艾尔莎（Elsa）和我去西汉普顿（Westhampton）海滩，在茶馆里品尝美式中餐
movie 	 电影
i need the closest movie theatre playing incense for the damned 	 我需要最近的电影院为该死的人打香
movie 	 电影
what is the movies playing at north american cinemas 	 北美电影院放映的电影是什么
weather 	 天气
what s the forecast for maltio strict nature reserve ? 	 对马耳他严格的自然保护区有何预测？
restaurant 	 餐厅
book a restaurant for august fourth not far from the marshall islands 	 预订距离马绍尔群岛不远的八月四日的餐厅
weather 	 天气
what kind of weather will be in va 12 years from now ? 	 从现在开始的12年后，VA将会是什么样的天气？
music 	 音乐
play fourties record 	 播放四十年代唱片
music 	 音乐
play some 1991 dave barker 	 玩一些1991年的dave barker
weather 	 天气
is there forecast to be snow in gu this summer ? 	 预计今年夏天谷区会下雪吗？
movie 	 电影
is cradle robbers playing at the nearest movie theatre 	 在最近的电影院里玩的摇​​篮抢劫犯
search 	 搜索
where can i find police story 3 supercop 	 我在哪里可以找到警察的故事3超级警察
music 	 音乐
play symphony music from the fourties with google music 	 使用Google音乐播放四十年代的交响音乐
restaurant 	 餐厅
book a restaurant for one in skillman 	 为技术员预订餐厅
weather 	 天气
what is the weather forecast 131 days from now in atanassow-see 	 从现在起131天后阿纳索索的天气预报是什么
search 	 搜索
find the angry birds movie 	 找到愤怒的小鸟电影
restaurant 	 餐厅
i would like to eat fast food and have a party of two in kentucky 	 我想吃快餐，在肯塔基州开一个两个人的聚会
music 	 音乐
play music from lastfm 	 播放lastfm中的音乐
restaurant 	 餐厅
book a spot for vicki and i at a restaurant in puerto rico 	 为维基和我在波多黎各的一家餐厅预订点
search 	 搜索
can you find a picture of the rambler 	 你能找到漫步者的照片吗
weather 	 天气
what is the current spot forecast for far areas and warmer temps 	 当前偏远地区和较温暖地区的现货预报是什么
music 	 音乐
play fourties music on pandora 	 在潘多拉上播放四十年代音乐
movie 	 电影
find me third man on the mountain at a cinema 	 在电影院找我第三个人在山上
movie 	 电影
when can i go see the untold story ? 	 我什么时候可以看到不为人知的故事？
restaurant 	 餐厅
i want to eat a a brasserie that serves muffuletta where can i get a reservation? 	 我想吃一家供应muffuletta的小酒馆，在哪里可以预订？
restaurant 	 餐厅
need a table for nine in east prairie la 	 在东大草原需要九张桌子
restaurant 	 餐厅
my brother in law and i would like to go to guinea-bissau for food 	 我的brother子，我想去几内亚比绍吃饭
search 	 搜索
what is the cave canem demos photograph ? 	 什么是洞穴canem demos照片？
search 	 搜索
show tv series schedule of gears of war 	 显示电视剧的时间表
search 	 搜索
search for the halfway home tv show 	 搜索中途家庭电视节目
restaurant 	 餐厅
can you get me seating for 5 at a highly rated restaurant in wisconsin 	 你能让我在威斯康星州一家高评价的餐厅里坐5个座位吗
movie 	 电影
find the movie schedule 	 查找电影时间表
weather 	 天气
what is the fiji forecast for warm temps 	 斐济对高温的预报是什么
movie 	 电影
fine movie times for loews cineplex entertainment 	 卢斯影城娱乐的好电影时间
restaurant 	 餐厅
book reservations at a restaurant in olton around supper time 	 晚餐时间在奥尔顿的一家餐厅预订
music 	 音乐
please play a song by everlast 	 请everlast播放一首歌
weather 	 天气
show weather forcast for t hstone memorial st joseph peninsula state park on one hour from now 	 显示从现在起一小时内对hstone纪念圣约瑟夫半岛州立公园的天气预报
restaurant 	 餐厅
book me a reservation at a burger joint close-by choate on july 16th 2022 	 为我在2022年7月16日在汉堡联合小餐馆预订房间
movie 	 电影
show the movie schedule 	 显示电影时间表
movie 	 电影
showtimes for the films at santikos theatres 	 桑蒂科斯剧院的电影放映时间
search 	 搜索
what painting is on the cure discography ? 	 治愈唱片上是什么画？
restaurant 	 餐厅
book reservations not far from our neighborhood for a party of 2 	 预订离我们社区不远的2人聚会
music 	 音乐
play the top of emil de cou 	 发挥埃米尔·德库的顶峰
music 	 音乐
open spotify and play a couple of celtic songs 	 打开Spotify并播放几首凯尔特歌曲
search 	 搜索
find the trailer for the spooky sisters 	 找到幽灵般的姐妹们的预告片
movie 	 电影
i need a movie schedule for nearby animated movies 	 我需要附近的动画电影的电影时间表
music 	 音乐
play victoria banks s album 	 播放维多利亚银行的专辑
movie 	 电影
i d like to watch movies at amco entertainment 	 我想在amco娱乐场看电影
movie 	 电影
what films are at imax corporation at 11 p m 	 晚上11点在imax公司观看什么电影
search 	 搜索
find a photograph called between the days 	 找到两天之间的照片
weather 	 天气
will it be sunny in corcovado indonesia ? 	 印尼科尔科瓦多会晴天吗？
search 	 搜索
please search for the live in san juan capistrano picture 	 请搜索圣胡安卡皮斯特拉诺的现场照片
weather 	 天气
what s the weather forecast near to fern creek this winter ? 	 今冬，蕨溪附近的天气预报如何？
movie 	 电影
find the schedule for blood orgy of the leather girls at a movie house 	 在电影院找到皮革女孩的血腥狂欢时间表
search 	 搜索
where to get painting of channel 4 news 	 在哪里获得第四频道新闻的绘画
weather 	 天气
will it be chilly around oregonia in 9 months 	 9个月后会不会变冷
weather 	 天气
what weather will it be in battlement mesa ? 	 城垛台面将是什么天气？
music 	 音乐
play latest shaggy music 	 播放最新的粗野音乐
weather 	 天气
will it be warm in jenners panama on august the sixteenth ? 	 16月8日在詹纳斯巴拿马会温暖吗？
movie 	 电影
what is the movie schedule at dipson theatres 	 戴普森剧院的电影时间表是什么
music 	 音乐
play innovations by kokia 	 发挥kokia的创新
restaurant 	 餐厅
please book a room to accommodate one in 11 weeks near bahamas restaurant 	 请在巴哈马餐厅附近预订一间可容纳11周的房间
movie 	 电影
what are the movie times for malco theatres 	 马尔科剧院的电影时间是几点
restaurant 	 餐厅
make a reservation for 9 at a brasserie with parking 	 在带停车场的小酒馆预约9
search 	 搜索
find a soundtrack called the alice cooper show 	 找到一个叫alice cooper show的配乐
restaurant 	 餐厅
can you place a reservation for me at ariston cafe 	 你能在阿里斯顿咖啡厅为我预订吗
weather 	 天气
will it colder here on 11 18 2018 	 2018年11月18日会在这里变冷吗
music 	 音乐
i want to hear ding dong bell on groove shark 	 我想听听丁鲨的叮铃
restaurant 	 餐厅
i want to take christy louise and alexandra to eat at 17 38 04 anywhere in ne 	 我想带克里斯蒂·路易丝和亚历山德拉在东北任何地方17 38 04吃饭
music 	 音乐
play ray davies on iheart by only hit it again 	 只再次击中iheart即可播放ray davies
search 	 搜索
what is the release date for the dvd called wild is the wind ? 	 DVD的发行日期是多少？
restaurant 	 餐厅
book the space aliens grill & bar in hord wy for feb the twenty-seventh 	 于wy预订2月27日在wy的太空外星人烧烤和酒吧
music 	 音乐
play some chanson music 	 播放一些香颂音乐
restaurant 	 餐厅
book a spot for my colleague and i at a pizzeria with a pool in owings mills wisconsin 	 为我和我的同事预订地点，在比萨店，在威斯康星州的欠费米尔斯带游泳池
search 	 搜索
find a soundtrack called billboard hot r&b hits 1981 	 找到1981年的热门广告牌，名为Billboard Hot R＆B Hits
weather 	 天气
what is the mt forecast for 22 	 吨的22预报是多少
weather 	 天气
weather for 9 3 2034 at bridle trails state park 	 Bridle Trails State Park的9 3 2034的天气
music 	 音乐
i want to hear a top ten soundtrack from 1984 by shinehead 	 我想听听Shinhhead 1984年的十大配乐
music 	 音乐
play ciribiribin by sandeep khare 	 Sandeep Khare扮演ciribiribin
search 	 搜索
show schedule for cin cin 	 显示cin的日程表
search 	 搜索
i m looking for the trailer to evil or divine - live in new york city 	 我正在寻找通往邪恶或神圣的预告片-住在纽约
weather 	 天气
i need the weather in hubbardston will it be chillier ? 	 我需要哈伯德斯顿的天气会凉吗？
restaurant 	 餐厅
book a brasserie that serves mezzes in iowa 	 预订一家小酒馆，在爱荷华州为您服务
search 	 搜索
play the song evocation i – the arcane dominion 	 播放歌曲《我-神秘的统治》
weather 	 天气
will it be warmer in ct 	 ct会变暖吗
music 	 音乐
play christina milian latest music 	 播放克里斯蒂娜·米兰的最新音乐
weather 	 天气
on april 2nd what will the weather be here 	 4月2日，天气如何？
music 	 音乐
play this is animal collective please 	 请玩这是动物集体
search 	 搜索
i d like to see the book the royal thousand 	 我想看这本书《皇家千书》
search 	 搜索
find the fire in our throats will beckon the thaw tv show 	 发现我们喉咙里的大火会解冻电视节目
weather 	 天气
what is the weather of new jersey palisades at three hundred three days from now 	 从现在起的303天，新泽西栅栏的天气如何
music 	 音乐
i want to hear any tune from the twenties 	 我想听听二十年代的曲调
movie 	 电影
give me pacific theatres movie schedules 	 给我太平洋剧院的电影时间表
movie 	 电影
find afternoon movie times for movies in the neighborhood 	 查找附近电影的下午电影时间
movie 	 电影
what time is the night before the premiere playing at the movie house 	 在电影院举行首映礼的前一天晚上几点
music 	 音乐
play the theme tune that christian fennesz wrote 	 播放克里斯蒂安·芬内斯写的主题曲
music 	 音乐
play the top nineties melody by gus g 	 演奏古斯九十年代最流行的旋律
music 	 音乐
play pop music with groove shark 	 用凹槽鲨鱼播放流行音乐
movie 	 电影
give me the movie times 	 给我看电影的时光
weather 	 天气
